batch_id,shift_notes
B_B001,Batch verlief ohne besondere Vorkommnisse
B_B002,Batch verlief ohne besondere Vorkommnisse
B_B003,Batch verlief ohne besondere Vorkommnisse
B_B004,Batch verlief ohne besondere Vorkommnisse
B_B005,Rührer-Sollwert auffällig hoch; korrigiert ; Reglerparameter geprüft
B_B006,Rührer-Sollwert auffällig hoch; korrigiert ; Reglerparameter geprüft
B_B007,Batch verlief ohne besondere Vorkommnisse
B_B008,Batch verlief ohne besondere Vorkommnisse
B_B009,Batch verlief ohne besondere Vorkommnisse
B_B010,pH-Sonde geprüft / Kalibrierung empfohlen ; Basenzufuhr erhöht zur pH-Korrektur
B_B011,Batch verlief ohne besondere Vorkommnisse
B_B012,"Entlüftungsfilter teilverstopft ; Druck kurz erhöht, anschließend stabilisiert"
B_B013,"Entlüftungsfilter teilverstopft ; Druck kurz erhöht, anschließend stabilisiert"
B_B014,Batch verlief ohne besondere Vorkommnisse
B_B015,Batch verlief ohne besondere Vorkommnisse
B_B016,Batch verlief ohne besondere Vorkommnisse
B_B017,"Feed A wirkt zähflüssiger, Pumpenleistung angepasst ; Rohstoff-Lot im Batch Record vermerkt"
B_B018,Batch verlief ohne besondere Vorkommnisse
B_B019,Batch verlief ohne besondere Vorkommnisse
B_B020,Batch verlief ohne besondere Vorkommnisse
B_B021,Batch verlief ohne besondere Vorkommnisse
B_B022,Batch verlief ohne besondere Vorkommnisse
B_B023,Batch verlief ohne besondere Vorkommnisse
B_B024,Batch verlief ohne besondere Vorkommnisse
B_B025,pH-Sonde geprüft / Kalibrierung empfohlen ; Basenzufuhr erhöht zur pH-Korrektur
B_B026,Batch verlief ohne besondere Vorkommnisse
B_B027,Rührer-Sollwert auffällig hoch; korrigiert ; Reglerparameter geprüft
B_B028,"Entlüftungsfilter teilverstopft ; Druck kurz erhöht, anschließend stabilisiert"
B_B029,Batch verlief ohne besondere Vorkommnisse
B_B030,Batch verlief ohne besondere Vorkommnisse
B_B031,Batch verlief ohne besondere Vorkommnisse
B_B032,Batch verlief ohne besondere Vorkommnisse
B_B033,Batch verlief ohne besondere Vorkommnisse
B_B034,Batch verlief ohne besondere Vorkommnisse
B_B035,Batch verlief ohne besondere Vorkommnisse
B_B036,Batch verlief ohne besondere Vorkommnisse
B_B037,Batch verlief ohne besondere Vorkommnisse
B_B038,Batch verlief ohne besondere Vorkommnisse
B_B039,pH-Sonde geprüft / Kalibrierung empfohlen ; Basenzufuhr erhöht zur pH-Korrektur
B_B040,"Feed A wirkt zähflüssiger, Pumpenleistung angepasst ; Rohstoff-Lot im Batch Record vermerkt"
B_B041,Batch verlief ohne besondere Vorkommnisse
B_B042,Rührer-Sollwert auffällig hoch; korrigiert ; Reglerparameter geprüft
B_B043,Batch verlief ohne besondere Vorkommnisse
B_B044,"Feed A wirkt zähflüssiger, Pumpenleistung angepasst ; Rohstoff-Lot im Batch Record vermerkt"
B_B045,Batch verlief ohne besondere Vorkommnisse
B_B046,"Feed A wirkt zähflüssiger, Pumpenleistung angepasst ; Rohstoff-Lot im Batch Record vermerkt"
B_B047,Batch verlief ohne besondere Vorkommnisse
B_B048,"Entlüftungsfilter teilverstopft ; Druck kurz erhöht, anschließend stabilisiert"
B_B049,"Entlüftungsfilter teilverstopft ; Druck kurz erhöht, anschließend stabilisiert"
B_B050,Batch verlief ohne besondere Vorkommnisse
B_B051,pH-Sonde geprüft / Kalibrierung empfohlen ; Basenzufuhr erhöht zur pH-Korrektur
B_B052,Batch verlief ohne besondere Vorkommnisse
B_B053,Rührer-Sollwert auffällig hoch; korrigiert ; Reglerparameter geprüft
B_B054,Batch verlief ohne besondere Vorkommnisse
B_B055,Batch verlief ohne besondere Vorkommnisse
B_B056,Batch verlief ohne besondere Vorkommnisse
B_B057,Batch verlief ohne besondere Vorkommnisse
B_B058,"Feed A wirkt zähflüssiger, Pumpenleistung angepasst ; Rohstoff-Lot im Batch Record vermerkt"
B_B059,Batch verlief ohne besondere Vorkommnisse
B_B060,Batch verlief ohne besondere Vorkommnisse
B_B061,Batch verlief ohne besondere Vorkommnisse
B_B062,Batch verlief ohne besondere Vorkommnisse
B_B063,Batch verlief ohne besondere Vorkommnisse
B_B064,pH-Sonde geprüft / Kalibrierung empfohlen ; Basenzufuhr erhöht zur pH-Korrektur
B_B065,Batch verlief ohne besondere Vorkommnisse
B_B066,Batch verlief ohne besondere Vorkommnisse
B_B067,Batch verlief ohne besondere Vorkommnisse
B_B068,"Feed A wirkt zähflüssiger, Pumpenleistung angepasst ; Rohstoff-Lot im Batch Record vermerkt"
B_B069,Batch verlief ohne besondere Vorkommnisse
B_B070,Batch verlief ohne besondere Vorkommnisse
B_B071,Batch verlief ohne besondere Vorkommnisse
B_B072,Batch verlief ohne besondere Vorkommnisse
B_B073,Batch verlief ohne besondere Vorkommnisse
B_B074,Batch verlief ohne besondere Vorkommnisse
B_B075,Batch verlief ohne besondere Vorkommnisse
B_B076,Dampfventil reagiert träge ; Heizrampe langsamer als üblich
B_B077,Batch verlief ohne besondere Vorkommnisse
B_B078,Batch verlief ohne besondere Vorkommnisse
B_B079,pH-Sonde geprüft / Kalibrierung empfohlen ; Basenzufuhr erhöht zur pH-Korrektur
B_B080,Batch verlief ohne besondere Vorkommnisse
B_B081,Batch verlief ohne besondere Vorkommnisse
B_B082,Batch verlief ohne besondere Vorkommnisse
B_B083,Batch verlief ohne besondere Vorkommnisse
B_B084,Batch verlief ohne besondere Vorkommnisse
B_B085,Batch verlief ohne besondere Vorkommnisse
B_B086,Batch verlief ohne besondere Vorkommnisse
B_B087,"Feed A wirkt zähflüssiger, Pumpenleistung angepasst ; Rohstoff-Lot im Batch Record vermerkt"
B_B088,Batch verlief ohne besondere Vorkommnisse
B_B089,Batch verlief ohne besondere Vorkommnisse
B_B090,"Entlüftungsfilter teilverstopft ; Druck kurz erhöht, anschließend stabilisiert"
B_B091,Batch verlief ohne besondere Vorkommnisse
B_B092,Batch verlief ohne besondere Vorkommnisse
B_B093,Batch verlief ohne besondere Vorkommnisse
B_B094,Batch verlief ohne besondere Vorkommnisse
B_B095,Batch verlief ohne besondere Vorkommnisse
B_B096,Batch verlief ohne besondere Vorkommnisse
B_B097,Batch verlief ohne besondere Vorkommnisse
B_B098,Batch verlief ohne besondere Vorkommnisse
B_B099,Batch verlief ohne besondere Vorkommnisse
B_B100,Rührer-Sollwert auffällig hoch; korrigiert ; Reglerparameter geprüft
B_B101,Batch verlief ohne besondere Vorkommnisse
B_B102,Batch verlief ohne besondere Vorkommnisse
B_B103,Batch verlief ohne besondere Vorkommnisse
B_B104,Batch verlief ohne besondere Vorkommnisse
B_B105,Batch verlief ohne besondere Vorkommnisse
B_B106,"Entlüftungsfilter teilverstopft ; Druck kurz erhöht, anschließend stabilisiert"
B_B107,pH-Sonde geprüft / Kalibrierung empfohlen ; Basenzufuhr erhöht zur pH-Korrektur
B_B108,Batch verlief ohne besondere Vorkommnisse
B_B109,Batch verlief ohne besondere Vorkommnisse
B_B110,Batch verlief ohne besondere Vorkommnisse
B_B111,Batch verlief ohne besondere Vorkommnisse
B_B112,"Feed A wirkt zähflüssiger, Pumpenleistung angepasst ; Rohstoff-Lot im Batch Record vermerkt"
B_B113,Batch verlief ohne besondere Vorkommnisse
B_B114,Batch verlief ohne besondere Vorkommnisse
B_B115,Dampfventil reagiert träge ; Heizrampe langsamer als üblich
B_B116,Batch verlief ohne besondere Vorkommnisse
B_B117,Batch verlief ohne besondere Vorkommnisse
B_B118,Batch verlief ohne besondere Vorkommnisse
B_B119,Batch verlief ohne besondere Vorkommnisse
B_B120,Batch verlief ohne besondere Vorkommnisse
B_B121,"Entlüftungsfilter teilverstopft ; Druck kurz erhöht, anschließend stabilisiert"
B_B122,Batch verlief ohne besondere Vorkommnisse
B_B123,Batch verlief ohne besondere Vorkommnisse
B_B124,Batch verlief ohne besondere Vorkommnisse
B_B125,Batch verlief ohne besondere Vorkommnisse
B_B126,Batch verlief ohne besondere Vorkommnisse
B_B127,Batch verlief ohne besondere Vorkommnisse
B_B128,Batch verlief ohne besondere Vorkommnisse
B_B129,Batch verlief ohne besondere Vorkommnisse
B_B130,Batch verlief ohne besondere Vorkommnisse
